Capabilities,Domain,Skill,Tactic,Technique,SUB-Technique,Windows,Linux,Cloud,MAC OS,Beginner,Intermediate,Expert,Ninja,Reference,
Predict,Security Assesment,General Pentesting,Reconnaissance,Active Scanning T1595,Scanning IP Blocks ,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1595/001/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Active Scanning T1595,Vulnerability Scanning T1595.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1595/002/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Host Information T1592,Hardware T1592.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1592/001/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Host Information T1592,Software T1592.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1592/002/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Host Information T1592,Firmware T1592.003,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1592/003/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Host Information T1592,Client Configurations T1592.004,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1592/004/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Identity Information T1589,Credentials T1589.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1589/001/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Identity Information T1589,Email Addresses T1589.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1589/002/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Identity Information T1589,Employee Names T1598.003,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1589/003/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Network Information T1590,Domain Properties 1590.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1590/001/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Network Information T1590,DNS T1590.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1590/002/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Network Information T1590,Network Trust Dependencies T1590.003,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1590/003/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Network Information T1590,Network Topology T1590.004,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1590/004/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Network Information T1590,IP Addresses T1590.005,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1590/005/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Network Information T1590,Network Security Appliances T1590.006,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1590/006/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Org Information T1591,Determine Physical Locations T1591.001,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1591/001/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Org Information T1591,Business Relationships T1591.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1591/002/,
Predict,Security Assesment,General Pentesting,Reconnaissance,Gather Victim Org Information T1591,Identify Business Tempo T1591.003,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1591/003/,
