Capabilities,Domain,Skill,Tactic,Technique,SUB-Technique,Windows,Linux,Cloud,MAC OS,Beginner,Intermediate,Expert,Ninja,Reference,
Predict,Security Assesment,OS Penetration Testing,Initial Access,Phishing-T1566,Spearphishing Link-T1566.002,1,1,1,1,,,,,https://attack.mitre.org/techniques/T1566/002/,
Predict,Security Assesment,OS Penetration Testing,Execution,Inter-Process Communication-T1559,Component Object Model-T1559.001,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1559/001/,
Predict,Security Assesment,OS Penetration Testing,Execution,Inter-Process Communication-T1559,"Dynamic Data Exchange-T1559.002        (B,I,E)",1,0,0,0,,,,,https://attack.mitre.org/techniques/T1559/002/,
Predict,Security Assesment,OS Penetration Testing,Execution,Scheduled Task/Job-T1053,At (Windows)-T1053.002,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1053/002/ ,
Predict,Security Assesment,OS Penetration Testing,Execution,System Services-T1569,Service Execution-T1569.002,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1569/002/,
Predict,Security Assesment,OS Penetration Testing,Persistence,Account Manipulation-T1098,Additional Cloud Credentials T1098.001,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1098/001/,
Predict,Security Assesment,Security Assesment,OS Penetration Testing,Persistence,BITS Jobs-T1197,No sub-technique,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1197/,
Predict,Security Assesment,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Winlogon Helper DLL-T1547.004,1,,,,,,,,https://attack.mitre.org/techniques/T1547/004/,
Predict,Security Assesment,Security Assesment,OS Penetration Testing,Persistence,Boot or Logon Autostart Execution-T1547,Shortcut Modification-T1547.009,1,,,,,,,,https://attack.mitre.org/techniques/T1547/009/,
Predict,Security Assesment,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Screensaver-T1546.002,,,,,,,,,https://attack.mitre.org/techniques/T1546/002/,
Predict,Security Assesment,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Windows Management Instrumentation Event Subscription T1546.003,,,,,,,,,https://attack.mitre.org/techniques/T1546/003/,
Predict,Security Assesment,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Netsh Helper DLL-T1546.007,,,,,,,,,https://attack.mitre.org/techniques/T1546/007/,
Predict,Security Assesment,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Image File Execution Options Injection T1546.012,,,,,,,,,https://attack.mitre.org/techniques/T1546/012/,
Predict,Security Assesment,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,PowerShell Profile-T1546.013,,,,,,,,,https://attack.mitre.org/techniques/T1546/013/,
,Security Assesment,OS Penetration Testing,Persistence,Event Triggered Execution-T1546,Component Object Model Hijacking-T1546.015,,,,,,,,,https://attack.mitre.org/techniques/T1546/015/,
,Security Assesment,OS Penetration Testing,Persistence,Hijaking Execution FLow T1574,Executable Installer File Permissions Weakness T1574.005,,,,,,,,,https://attack.mitre.org/techniques/T1574/005/,
,Security Assesment,OS Penetration Testing,Persistence,Hijaking Execution FLow T1574,Path Interception by Unquoted Path T1574.009,,,,,,,,,https://attack.mitre.org/techniques/T1574/009/,
,Security Assesment,OS Penetration Testing,Persistence,Scheduled Task/Job-T1053,At (Windows)-T1053.002,1,0,0,0,,,,,https://attack.mitre.org/techniques/T1053/002/ ,
,Security Assesment,OS Penetration Testing,Persistence,Server Software Component-T1505,Web Shell-T1505.003,,,,,,,,,https://attack.mitre.org/techniques/T1505/003/,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Abuse Elevation Control Mechanism-T1548,Bypass User Account Control T1548.002,,,,,,,,,https://attack.mitre.org/techniques/T1548/002/,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Access Token Manipulation-T1134,Token ImpersonationTheft T1134.001,,,,,,,,,https://attack.mitre.org/techniques/T1134/001/,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Boot or Logon Autostart Execution-T1547,Winlogon Helper DLL-T1547.004,,,,,,,,,https://attack.mitre.org/techniques/T1547/004/,
,Security Assesment,OS Penetration Testing,Privilege Escalation,Boot or Logon Autostart Execution-T1547,Shortcut Modification-T1547.009,,,,,,,,,https://attack.mitre.org/techniques/T1547/009/,
